Timestamp,Emotion
287419290.1904,SHOCK
287419423.5238,SURPRISE
287419556.8571,SAD
287419690.1904,SURPRISE or ANGER
287419823.5238,SHOCK
287419956.8571,DISCOMFORT
287420190.1904,SAD
287420323.5238,SURPRISE or ANGER
287420456.8571,SHOCK
287420690.1904,DISCOMFORT
287420823.5238,SAD
287420956.8571,SURPRISE or ANGER
287421090.1904,SHOCK
287421223.5238,SURPRISE
287421456.8571,DISCOMFORT
287421490.1904,SAD
287421623.5238,SURPRISE or ANGER
287421756.8571,SHOCK
287421890.1904,DISCOMFORT
287421923.5238,SAD
287422056.8571,SURPRISE or ANGER
287422190.1904,SHOCK
287422323.5238,DISCOMFORT
287422456.8571,SAD
287422590.1904,SURPRISE or ANGER
287422823.5238,SHOCK
287422956.8571,DISCOMFORT
287423090.1904,SAD
287423223.5238,SURPRISE or ANGER
287423356.8571,SHOCK
287423590.1904,SURPRISE
287423723.5238,DISCOMFORT
287423956.8571,SAD
287424090.1904,SURPRISE or ANGER
287424223.5238,SHOCK
287424256.8571,DISCOMFORT
287424390.1904,SAD
287424523.5238,SURPRISE or ANGER
287424556.8571,SHOCK
287424690.1904,DISCOMFORT
287424823.5238,SAD
287424956.8571,SURPRISE or ANGER
287424990.1904,SHOCK
287425223.5238,SURPRISE
287425256.8571,SAD
287425290.1904,SURPRISE or ANGER
287425423.5238,SHOCK
287425556.8571,SURPRISE
287425690.1904,SAD
287425823.5238,SURPRISE or ANGER
287425856.8571,SHOCK
287425990.1904,SAD
287426123.5238,SURPRISE or ANGER
287426256.8571,SHOCK
287426390.1904,DISCOMFORT
287426523.5238,SAD
287426656.8571,SURPRISE or ANGER
287426690.1904,SHOCK
287426823.5238,SURPRISE
287426956.8571,DISCOMFORT
287427090.1904,SAD
287427223.5238,SURPRISE or ANGER
287427356.8571,SHOCK
287427390.1904,SURPRISE
287427523.5238,SAD
287427556.8571,SURPRISE or ANGER
287427690.1904,SHOCK
287427823.5238,DISCOMFORT
287427956.8571,SAD
287427990.1904,SURPRISE or ANGER
287428123.5238,SHOCK
287428156.8571,DISCOMFORT
287428290.1904,SAD
287428423.5238,SURPRISE or ANGER
287428556.8571,SHOCK
287428690.1904,SURPRISE
287428823.5238,SAD
287428856.8571,SURPRISE or ANGER
287428990.1904,SHOCK
287429123.5238,SURPRISE
287429256.8571,SAD
287429490.1904,SURPRISE or ANGER
287429623.5238,SHOCK
287429756.8571,SURPRISE
287429790.1904,SAD
287429923.5238,SURPRISE or ANGER
287430056.8571,SHOCK
287430090.1904,SURPRISE
287430223.5238,DISCOMFORT
287430356.8571,SAD
287430390.1904,SURPRISE or ANGER
287430423.5238,SHOCK
287430556.8571,DISCOMFORT
287430790.1904,SAD
287430823.5238,SURPRISE or ANGER
287430956.8571,SHOCK
287431090.1904,SURPRISE
287431223.5238,DISCOMFORT
287431356.8571,SAD
287431490.1904,SURPRISE or ANGER
287431623.5238,SHOCK
287431756.8571,SAD
287431890.1904,SURPRISE or ANGER
287432023.5238,SHOCK
287432156.8571,SURPRISE
287432290.1904,SAD
287432423.5238,SURPRISE or ANGER
287432556.8571,SHOCK
287432690.1904,SURPRISE
287432823.5238,FEAR
287433056.8571,SURPRISE or ANGER
287433090.1904,SHOCK
287433223.5238,SURPRISE
287433456.8571,DISCOMFORT
287433590.1904,SAD
287433723.5238,SURPRISE or ANGER
287433856.8571,SHOCK
287433990.1904,SURPRISE
287434123.5238,DISCOMFORT
287434256.8571,SAD
287434390.1904,SURPRISE or ANGER
287434423.5238,SHOCK
287434556.8571,SAD
287434790.1904,SURPRISE or ANGER
287434923.5238,SHOCK
287435056.8571,SURPRISE
287435190.1904,SAD
287435223.5238,SURPRISE or ANGER
287435356.8571,SHOCK
287435490.1904,SURPRISE
287435623.5238,SAD
287435756.8571,SURPRISE or ANGER
287435890.1904,SHOCK
287436023.5238,SURPRISE
287436156.8571,SAD
287436290.1904,SURPRISE or ANGER
287436423.5238,SHOCK
287436656.8571,FEAR
287436890.1904,SURPRISE or ANGER
287437023.5238,SHOCK
287437156.8571,SURPRISE
287437190.1904,SAD
287437323.5238,SURPRISE or ANGER
287437456.8571,SHOCK
287437590.1904,DISCOMFORT
287437723.5238,SAD
287437856.8571,SURPRISE or ANGER
287438090.1904,SHOCK
287438123.5238,SURPRISE
287438256.8571,FEAR
287438390.1904,SURPRISE or ANGER
287438523.5238,SHOCK
287438656.8571,SURPRISE
287438790.1904,FEAR
287438923.5238,SURPRISE or ANGER
287439056.8571,SHOCK
287439190.1904,DISCOMFORT
287439323.5238,NEUTRAL
287439556.8571,SURPRISE or ANGER
287439690.1904,SHOCK
287439823.5238,FEAR
287439956.8571,SURPRISE or ANGER
287440090.1904,SHOCK
287440323.5238,SURPRISE
287440456.8571,DISCOMFORT
287440590.1904,NEUTRAL
287440723.5238,SURPRISE or ANGER
287440956.8571,SHOCK
287441090.1904,SURPRISE
287441223.5238,DISCOMFORT
287441356.8571,SURPRISE
287441490.1904,SURPRISE or ANGER
287441623.5238,SHOCK
287441856.8571,DISCOMFORT
287441990.1904,SURPRISE
287442223.5238,SURPRISE or ANGER
287442356.8571,SHOCK
287442490.1904,SURPRISE
287442623.5238,DISCOMFORT
287442756.8571,SURPRISE
287442990.1904,SURPRISE or ANGER
287443123.5238,SHOCK
287443256.8571,DISCOMFORT
287443390.1904,SURPRISE
287443623.5238,SURPRISE or ANGER
287443756.8571,SHOCK
287443890.1904,SURPRISE
287444023.5238,DISCOMFORT
287444156.8571,SAD
287444390.1904,SURPRISE or ANGER
287444523.5238,SHOCK
287444656.8571,SURPRISE
287444790.1904,DISCOMFORT
287445023.5238,SAD
287445156.8571,SURPRISE or ANGER
287445290.1904,SHOCK
287445423.5238,SURPRISE
287445556.8571,SURPRISE
287445690.1904,SURPRISE or ANGER
287445923.5238,SHOCK
287446056.8571,SURPRISE
287446190.1904,DISCOMFORT
287446423.5238,SURPRISE
287446556.8571,SURPRISE or ANGER
287446690.1904,SHOCK
287446823.5238,SURPRISE
287446856.8571,DISCOMFORT
287446990.1904,SURPRISE
287447223.5238,SURPRISE or ANGER
287447256.8571,SHOCK
287447490.1904,DISCOMFORT
287447523.5238,SURPRISE
287447656.8571,SURPRISE or ANGER
287447890.1904,SHOCK
287448023.5238,SURPRISE
287448156.8571,DISCOMFORT
287448290.1904,FEAR
287448423.5238,SURPRISE or ANGER
287448556.8571,SHOCK
287448690.1904,SURPRISE
287448723.5238,DISCOMFORT
287448956.8571,FEAR
287448990.1904,SURPRISE or ANGER
287449223.5238,SHOCK
287449356.8571,SURPRISE
287449490.1904,DISCOMFORT
287449623.5238,FEAR
287449756.8571,SURPRISE or ANGER
287449890.1904,SHOCK
287450023.5238,SURPRISE
287450156.8571,DISCOMFORT
287450290.1904,SAD
287450423.5238,SURPRISE or ANGER
287450556.8571,SHOCK
287450690.1904,SURPRISE
287450823.5238,DISCOMFORT
287450956.8571,FEAR
287451090.1904,SURPRISE or ANGER
287451223.5238,SHOCK
287451356.8571,SURPRISE
287451490.1904,DISCOMFORT
287451623.5238,FEAR
287451756.8571,SURPRISE or ANGER
287451890.1904,SHOCK
287452023.5238,SURPRISE
287452156.8571,DISCOMFORT
287452290.1904,FEAR
287452423.5238,SURPRISE or ANGER
287452556.8571,SHOCK
287452690.1904,SURPRISE
287452923.5238,DISCOMFORT
287453056.8571,NEUTRAL
287453090.1904,SURPRISE or ANGER
287453223.5238,SHOCK
287453356.8571,SURPRISE
287453490.1904,DISCOMFORT
287453623.5238,SAD
287453756.8571,SURPRISE or ANGER
287453890.1904,SHOCK
287454023.5238,SURPRISE
287454156.8571,DISCOMFORT
287454290.1904,FEAR
287454423.5238,SURPRISE or ANGER
287454556.8571,SHOCK
287454690.1904,SURPRISE
287454823.5238,DISCOMFORT
287454956.8571,FEAR
287454990.1904,SURPRISE or ANGER
287455123.5238,SHOCK
287455256.8571,DISCOMFORT
287455390.1904,NEUTRAL
287455523.5238,SURPRISE or ANGER
287455756.8571,SHOCK
287455890.1904,SURPRISE
287456023.5238,SAD
287456156.8571,SURPRISE or ANGER
287456290.1904,SHOCK
287456323.5238,SURPRISE
287456456.8571,DISCOMFORT
287456690.1904,FEAR
287456823.5238,SURPRISE or ANGER
287456956.8571,SHOCK
287457090.1904,SURPRISE
287457223.5238,FEAR
287457356.8571,SURPRISE or ANGER
287457490.1904,SHOCK
287457623.5238,NEUTRAL
287457756.8571,SURPRISE or ANGER
287457890.1904,SHOCK
287458023.5238,SURPRISE
287458156.8571,FEAR
287458290.1904,SURPRISE or ANGER
287458423.5238,SHOCK
287458556.8571,SURPRISE
287458690.1904,DISCOMFORT
287458823.5238,SURPRISE
287458956.8571,SURPRISE or ANGER
